,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Industrials,Non-Japan,360360,DH,1330 HK,HKD,Asia,L,A-Water,2014-10-15
2014/12/31,Information Technology,Non-Japan,16814080,EL,1347 HK,HKD,Asia,L,A-Tech,2014-10-09
2014/12/31,Information Technology,Non-Japan,2785280,EL,1347 HK,HKD,Asia,L,A-Tech,2014-10-09
2014/12/31,Information Technology,Non-Japan,757760,EL,1347 HK,HKD,Asia,L,A-Tech,2014-10-09
2014/12/31,Industrials,Non-Japan,16734290,AQ,152 HK,HKD,Asia,L,A-Logistics,2014-11-05
2014/12/31,Industrials,Non-Japan,2736890,AQ,152 HK,HKD,Asia,L,A-Logistics,2014-11-05
2014/12/31,Industrials,Non-Japan,728320,AQ,152 HK,HKD,Asia,L,A-Logistics,2014-11-05
2014/12/31,Industrials,Non-Japan,4892440,AQ,1685 HK,HKD,Asia,L,A-Elec Equipment,2014-04-17
2014/12/31,Industrials,Non-Japan,830400,AQ,1685 HK,HKD,Asia,L,A-Elec Equipment,2014-04-17
2014/12/31,Industrials,Non-Japan,242200,AQ,1685 HK,HKD,Asia,L,A-Elec Equipment,2014-04-17
2014/12/31,Industrials,Non-Japan,8130920,AQ,1882 HK,HKD,Asia,S,A-Machinery,2014-10-10
2014/12/31,Industrials,Non-Japan,1406960,AQ,1882 HK,HKD,Asia,S,A-Machinery,2014-10-10
2014/12/31,Industrials,Non-Japan,392640,AQ,1882 HK,HKD,Asia,S,A-Machinery,2014-10-10
2014/12/31,Consumer Discretionary,Non-Japan,11397151,AQ,200581 CH,HKD,Asia,L,A-Auto Parts,2014-10-09
2014/12/31,Consumer Discretionary,Non-Japan,545031,AQ,200581 CH,HKD,Asia,L,A-Auto Parts,2014-10-09
2014/12/31,Consumer Discretionary,Non-Japan,1935255,AQ,200581 CH,HKD,Asia,L,A-Auto Parts,2014-10-09
2014/12/31,Consumer Discretionary,Non-Japan,13745827,AQ,200625 CH,HKD,Asia,L,A-Auto OEM,2014-10-15
2014/12/31,Consumer Discretionary,Non-Japan,642330,AQ,200625 CH,HKD,Asia,L,A-Auto OEM,2014-10-15
2014/12/31,Consumer Discretionary,Non-Japan,2283395,AQ,200625 CH,HKD,Asia,L,A-Auto OEM,2014-10-15
2014/12/31,Materials,Non-Japan,8596005,KW,2009 HK,HKD,Asia,L,A-Cement,2014-10-31
2014/12/31,Materials,Non-Japan,389400,KW,2009 HK,HKD,Asia,L,A-Cement,2014-10-31
2014/12/31,Materials,Non-Japan,1398595,KW,2009 HK,HKD,Asia,L,A-Cement,2014-10-31
2014/12/31,Information Technology,Non-Japan,11740360,DH,2038 HK,HKD,Asia,L,A-Electronics,2013-12-27
